customer_id,person_age,person_income,person_home_ownership,person_emp_length,loan_intent,loan_grade,loan_amnt,loan_int_rate,loan_status,cb_person_default_on_file,cb_person_cred_hist_length
616d39c7-4cca-4e2e-a65c-848a9543cfe1,22,59000,RENT,123,PERSONAL,D,35000,16.02,1,Y,3
49d00b80-f7ec-41ec-8063-8cc32f384268,21,9600,OWN,5,EDUCATION,B,1000,11.14,0,N,2
25172c7f-160a-44ac-b271-5833b7a679f6,25,9600,MORTGAGE,1,MEDICAL,C,5500,12.87,1,N,3
a8f721ac-9696-48b3-ae35-bc8b13592d26,23,65500,RENT,4,MEDICAL,C,35000,15.23,1,N,2
53be6c0c-0a33-41c1-a8d0-e9784b077f98,24,54400,RENT,8,MEDICAL,C,35000,14.27,1,Y,4
01e15c6d-1e6e-4974-8a68-6d4e49fdcdde,21,9900,OWN,2,VENTURE,A,2500,7.14,1,N,2
5801ae3a-730c-49b7-9268-a07de903f0ad,26,77100,RENT,8,EDUCATION,B,35000,12.42,1,N,3
6e527075-420b-4b7d-a31d-38c432629607,24,78956,RENT,5,MEDICAL,B,35000,11.11,1,N,4
45187d21-3cbc-4f2c-889f-8531adba5c52,24,83000,RENT,8,PERSONAL,A,35000,8.9,1,N,2
e1431717-fd0b-491c-8cc0-03b1e6e3c825,21,10000,OWN,6,VENTURE,D,1600,14.74,1,N,3
aa1631b5-3adf-4963-bfd7-dfe6e13e918d,22,85000,RENT,6,VENTURE,B,35000,10.37,1,N,4
0762fb8d-0244-4862-a0ce-f82707eee012,21,10000,OWN,2,HOMEIMPROVEMENT,A,4500,8.63,1,N,2
366f171e-f561-46d7-9e9d-8cdb136634b2,23,95000,RENT,2,VENTURE,A,35000,7.9,1,N,2
ddb88b24-2115-43e5-aafb-66988acb676a,26,108160,RENT,4,EDUCATION,E,35000,18.39,1,N,4
17cc2ac8-9328-401b-b884-a4cb7b6e6fc8,23,115000,RENT,2,EDUCATION,A,35000,7.9,0,N,4
76041660-456a-4a5e-aa63-269feb2e885b,23,500000,MORTGAGE,7,DEBTCONSOLIDATION,B,30000,10.65,0,N,3
ac1e6028-e274-47dd-b32a-661c72ca827e,23,120000,RENT,0,EDUCATION,A,35000,7.9,0,N,4
f247aa87-1907-44ec-98fe-4d55a29f523b,23,92111,RENT,7,MEDICAL,F,35000,20.25,1,N,4
fdcf3b7f-31cc-4b98-aa51-ec102a39aa68,23,113000,RENT,8,DEBTCONSOLIDATION,D,35000,18.25,1,N,4
73883f4f-6855-49b7-bcde-f3943fd6fa92,24,10800,MORTGAGE,8,EDUCATION,B,1750,10.99,1,N,2
f60a20e9-093d-4858-ad77-a5cddc13ac8c,25,162500,RENT,2,VENTURE,A,35000,7.49,0,N,4
f015e9b4-8531-4b65-ae69-ff42415d4447,25,137000,RENT,9,PERSONAL,E,34800,16.77,0,Y,2
325bc5a6-d95f-4818-b7e3-0074d69daf7f,22,65000,RENT,4,EDUCATION,D,34000,17.58,1,N,4
d382f6eb-5c4a-4837-a661-4387b26ab618,24,10980,OWN,0,PERSONAL,A,1500,7.29,0,N,3
d7b53d6d-5508-4070-b7dd-fa7465e5b903,22,80000,RENT,3,PERSONAL,D,33950,14.54,1,Y,4
2ce4bea2-c678-4d98-87e1-9fc08004bb4e,24,67746,RENT,8,HOMEIMPROVEMENT,C,33000,12.68,1,N,3
fa2c9ee4-6226-44de-b95c-da14ebce5282,21,11000,MORTGAGE,3,VENTURE,E,4575,17.74,1,Y,3
9049a396-ed9d-4354-b607-5bd232b16648,23,11000,OWN,0,PERSONAL,A,1400,9.32,0,N,3
d33b9224-76a7-4894-ba83-934a49c3a395,24,65000,RENT,6,HOMEIMPROVEMENT,B,32500,9.99,1,N,3
853821b6-8c4a-4eaf-92e3-af0640ab77e8,21,11389,OTHER,5,EDUCATION,C,4000,12.84,1,Y,2
0c9145e3-8937-4750-a0bc-c1bc9f5bdb63,21,11520,OWN,5,MEDICAL,B,2000,11.12,1,N,3
b8c43db1-3b31-40ae-b34c-0b660c2cd824,25,120000,RENT,2,VENTURE,A,32000,6.62,0,N,2
4f7e6151-8c14-4b57-8b72-7d863ee8186c,26,95000,RENT,7,HOMEIMPROVEMENT,C,31050,14.17,1,Y,3
0326ff43-7a78-41d8-b1fa-ac3d86e46219,25,306000,RENT,2,DEBTCONSOLIDATION,C,24250,13.85,0,N,3
ae1a18f4-e844-4f81-baba-aef13fe8140a,26,300000,MORTGAGE,10,MEDICAL,C,7800,13.49,0,N,4
26ac8056-6e41-4b48-badd-d7bc6f568b06,21,12000,OWN,5,EDUCATION,A,2500,7.51,1,N,4
83e94e1e-a9a4-44f1-af4e-eeff02b7fcda,22,48000,RENT,1,EDUCATION,E,30000,18.39,1,N,2
5578e82b-c43c-4057-a39a-c9adaa3f4013,24,64000,RENT,8,DEBTCONSOLIDATION,D,30000,14.54,1,Y,3
fa8cb9dc-91ee-4a28-a893-83590cbf30ae,25,75000,RENT,4,HOMEIMPROVEMENT,D,30000,16.89,1,Y,4
2b32ce2f-f47f-4b5c-ac74-ccc212098c2b,23,71500,RENT,3,DEBTCONSOLIDATION,D,30000,,1,N,4
86097fb8-b3bc-4dd3-bfd4-0f5286b2a4b2,26,62050,RENT,6,MEDICAL,E,30000,17.99,1,N,2
e9d03a6a-bdf3-4a33-a631-ff956c0381f0,24,12000,OWN,4,VENTURE,B,2500,12.69,1,N,3
c99894b1-b4ed-4d3a-86c9-eed8473a4897,26,300000,MORTGAGE,10,VENTURE,A,20000,7.88,0,N,4
8ed37923-baa4-4f89-b231-6e847b1d5220,23,300000,OWN,1,EDUCATION,F,24250,19.41,0,Y,2
598188c6-d54d-46e4-be31-b07bbc168960,26,300000,OWN,9,HOMEIMPROVEMENT,B,10000,10.38,0,N,4
da15c8d0-d4cb-4b93-9b79-e8275c170f83,26,300000,MORTGAGE,0,EDUCATION,D,25000,15.33,0,N,3
6e943de6-56eb-45a2-87b5-ba50df1b4153,25,300000,MORTGAGE,9,HOMEIMPROVEMENT,E,18000,16.45,0,N,3
c12e693e-2658-4209-8a22-28a690c4cef1,26,80690,RENT,8,PERSONAL,A,30000,7.49,1,N,3
214412a0-19cf-4b6a-86ba-13b3b44a4fe5,22,66300,RENT,4,MEDICAL,B,30000,12.69,1,N,3
4aa071c4-c3a8-4e5e-9a92-9b23f0f9fc7b,26,89028,RENT,0,DEBTCONSOLIDATION,A,30000,6.62,1,N,3
34b28d1b-d91b-44be-8c4d-ba63a2abb02e,24,78000,RENT,4,DEBTCONSOLIDATION,D,30000,,1,Y,4
fe109263-be8a-4901-b749-78cffcb0a62e,23,78000,RENT,7,DEBTCONSOLIDATION,F,30000,18.62,1,Y,3
cb5f322d-0907-4aa7-8044-bd28dbcb724c,23,92004,RENT,6,PERSONAL,C,30000,15.23,1,Y,3
d53ef82b-f0f1-4a57-9113-80d06b686c64,23,97000,RENT,7,VENTURE,B,30000,10.65,1,N,2
f9dec9b4-1dfa-44ff-9f81-0a6c1e44dead,25,120000,RENT,9,EDUCATION,A,30000,7.9,0,N,4
d6904e5b-b115-4856-b0a1-02acae0c1386,26,280000,RENT,4,PERSONAL,C,10000,15.96,0,Y,3
fd176fbd-fdb2-426a-8ce0-598a2fa9eb69,26,277104,RENT,0,VENTURE,B,20000,11.48,0,N,3
c25d7939-9756-43ec-9cf0-2d5008df67b0,23,277000,OWN,3,PERSONAL,A,35000,,0,N,4
244b64d1-7bf4-4702-8c6f-a5205824ee9e,25,128000,RENT,9,PERSONAL,A,30000,7.29,0,N,4
